date_collected,week_ending_date,calendar_year,marketing_year,calendar_month,marketing_year_month,calendar_week,marketing_year_week,commodity,country,weekly_exports,accumulated_exports,outstanding_sales,gross_new_sales,current_marketing_year_net_sales,current_marketing_year_total_commitment,next_marketing_year_outstanding_sales,next_marketing_year_net_sales,unit
04-24-2026,2026-04-16,2026,2026,4,8,16,33,soybeans,thailand,4843,309061,33054,2928,2891,342115,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,8,16,33,soybeans,vietnam,11723,912286,64260,4702,4418,976546,184,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,wheat,taiwan,0,855902,120175,0,0,976077,39550,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,8,16,33,corn,honduras,15117,767689,254032,50752,50117,1021721,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,srw-wheat,colombia,0,235987,17300,0,0,253287,17500,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,8,16,33,soybeans,mexico,41770,3558303,1069036,12224,12224,4627339,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,srw-wheat,taiwan,0,16748,1150,0,0,17898,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,7,16,29,soybean-oil,indonesia,0,19,0,0,0,19,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,7,16,29,soybean-meal,mexico,47649,1572654,681821,38812,38812,2254475,63347,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,7,16,29,soybean-meal,european-union,0,438940,252453,24000,23545,691393,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,wheat,egypt,0,75151,35000,0,0,110151,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,8,16,33,corn,vietnam,2049,1109083,292740,4000,4000,1401823,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,7,16,29,soybean-oil,canada,390,15015,22990,716,651,38005,36,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,wheat,mexico,90721,3766407,755672,43680,40955,4522079,365125,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,8,16,33,corn,china,0,0,0,0,0,0,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,wheat,bangladesh,0,744261,0,0,0,744261,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,hrw-wheat,japan,0,730557,211688,59380,59380,942245,24500,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,wheat,south-korea,468,1573486,304458,0,0,1877944,324630,6000,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,srw-wheat,south-korea,468,1563,1457,0,0,3020,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,8,16,33,corn,guatemala,14192,1110617,257249,0,14192,1367866,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,srw-wheat,nigeria,0,174025,28000,0,0,202025,0,0,Metric Tons
