date_collected,week_ending_date,calendar_year,marketing_year,calendar_month,marketing_year_month,calendar_week,marketing_year_week,commodity,country,export_inspections,unit
01-10-2026,2026-01-01,2026,2026,1,5,1,18,corn,world,1206913,Metric Tons
01-10-2026,2026-01-01,2026,2026,1,8,1,31,wheat,world,183305,Metric Tons
01-10-2026,2026-01-01,2026,2026,1,5,1,18,soybeans,world,980518,Metric Tons
01-10-2026,2025-12-25,2025,2026,12,7,52,30,wheat,world,302096,Metric Tons
01-10-2026,2025-12-25,2025,2026,12,4,52,17,corn,world,1301211,Metric Tons
01-10-2026,2025-12-25,2025,2026,12,4,52,17,soybeans,world,750312,Metric Tons
01-10-2026,2025-12-18,2025,2026,12,4,51,16,corn,world,1744088,Metric Tons
01-10-2026,2025-12-18,2025,2026,12,7,51,29,wheat,world,627443,Metric Tons
01-10-2026,2025-12-18,2025,2026,12,4,51,16,soybeans,world,870199,Metric Tons
01-10-2026,2025-12-11,2025,2026,12,4,50,15,corn,world,1582995,Metric Tons
01-10-2026,2025-12-11,2025,2026,12,4,50,15,soybeans,world,795661,Metric Tons
01-10-2026,2025-12-11,2025,2026,12,7,50,28,wheat,world,488025,Metric Tons
01-10-2026,2025-12-04,2025,2026,12,4,49,14,soybeans,world,1018127,Metric Tons
01-10-2026,2025-12-04,2025,2026,12,7,49,27,wheat,world,393341,Metric Tons
01-10-2026,2025-12-04,2025,2026,12,4,49,14,corn,world,1452822,Metric Tons
01-10-2026,2025-11-27,2025,2026,11,3,48,13,soybeans,world,920194,Metric Tons
01-10-2026,2025-11-27,2025,2026,11,6,48,26,wheat,world,384881,Metric Tons
01-10-2026,2025-11-27,2025,2026,11,3,48,13,corn,world,1421258,Metric Tons
01-10-2026,2025-11-20,2025,2026,11,6,47,25,wheat,world,474530,Metric Tons
01-10-2026,2025-11-20,2025,2026,11,3,47,12,soybeans,world,799042,Metric Tons
01-10-2026,2025-11-20,2025,2026,11,3,47,12,corn,world,1632144,Metric Tons
01-10-2026,2025-11-13,2025,2026,11,3,46,11,corn,world,2053932,Metric Tons
01-10-2026,2025-11-13,2025,2026,11,6,46,24,wheat,world,246533,Metric Tons
01-10-2026,2025-11-13,2025,2026,11,3,46,11,soybeans,world,1176307,Metric Tons
01-10-2026,2025-11-06,2025,2026,11,3,45,10,soybeans,world,1088577,Metric Tons
01-10-2026,2025-11-06,2025,2026,11,3,45,10,corn,world,1424968,Metric Tons
01-10-2026,2025-11-06,2025,2026,11,6,45,23,wheat,world,290513,Metric Tons
01-10-2026,2025-10-30,2025,2026,10,2,44,9,corn,world,1668781,Metric Tons
01-10-2026,2025-10-30,2025,2026,10,5,44,22,wheat,world,350293,Metric Tons
01-10-2026,2025-10-30,2025,2026,10,2,44,9,soybeans,world,965063,Metric Tons
01-10-2026,2025-10-23,2025,2026,10,5,43,21,wheat,world,258543,Metric Tons
01-10-2026,2025-10-23,2025,2026,10,2,43,8,soybeans,world,1061375,Metric Tons
01-10-2026,2025-10-23,2025,2026,10,2,43,8,corn,world,1187500,Metric Tons
01-10-2026,2025-10-16,2025,2026,10,2,42,7,soybeans,world,1474354,Metric Tons
01-10-2026,2025-10-16,2025,2026,10,5,42,20,wheat,world,480614,Metric Tons
01-10-2026,2025-10-16,2025,2026,10,2,42,7,corn,world,1317724,Metric Tons
01-10-2026,2025-10-09,2025,2026,10,2,41,6,corn,world,1129708,Metric Tons
01-10-2026,2025-10-09,2025,2026,10,2,41,6,soybeans,world,994008,Metric Tons
01-10-2026,2025-10-09,2025,2026,10,5,41,19,wheat,world,444138,Metric Tons
01-10-2026,2025-10-02,2025,2026,10,5,40,18,wheat,world,505096,Metric Tons
01-10-2026,2025-10-02,2025,2026,10,2,40,5,soybeans,world,768117,Metric Tons
01-10-2026,2025-10-02,2025,2026,10,2,40,5,corn,world,1599941,Metric Tons
01-10-2026,2025-09-25,2025,2026,9,1,39,4,corn,world,1527145,Metric Tons
01-10-2026,2025-09-25,2025,2026,9,4,39,17,wheat,world,738604,Metric Tons
01-10-2026,2025-09-25,2025,2026,9,1,39,4,soybeans,world,593956,Metric Tons
01-10-2026,2025-09-18,2025,2026,9,1,38,3,soybeans,world,484116,Metric Tons
01-10-2026,2025-09-18,2025,2026,9,1,38,3,corn,world,1329024,Metric Tons
01-10-2026,2025-09-18,2025,2026,9,4,38,16,wheat,world,854454,Metric Tons
01-10-2026,2025-09-11,2025,2026,9,4,37,15,wheat,world,755073,Metric Tons
01-10-2026,2025-09-11,2025,2026,9,1,37,2,soybeans,world,804352,Metric Tons
01-10-2026,2025-09-11,2025,2026,9,1,37,2,corn,world,1511691,Metric Tons
01-10-2026,2025-09-04,2025,2026,9,4,36,14,wheat,world,424993,Metric Tons
01-10-2026,2025-09-04,2025,2026,9,1,36,1,corn,world,1442910,Metric Tons
01-10-2026,2025-09-04,2025,2026,9,1,36,1,soybeans,world,452151,Metric Tons
01-10-2026,2025-08-28,2025,2026,8,3,35,13,wheat,world,802780,Metric Tons
01-10-2026,2025-08-28,2025,2025,8,12,35,52,corn,world,1407050,Metric Tons
01-10-2026,2025-08-28,2025,2025,8,12,35,52,soybeans,world,472914,Metric Tons
01-10-2026,2025-08-21,2025,2025,8,12,34,51,soybeans,world,382806,Metric Tons
01-10-2026,2025-08-21,2025,2025,8,12,34,51,corn,world,1305325,Metric Tons
01-10-2026,2025-08-21,2025,2026,8,3,34,12,wheat,world,946472,Metric Tons
01-10-2026,2025-08-14,2025,2026,8,3,33,11,wheat,world,395240,Metric Tons
01-10-2026,2025-08-14,2025,2025,8,12,33,50,soybeans,world,473605,Metric Tons
01-10-2026,2025-08-14,2025,2025,8,12,33,50,corn,world,1050715,Metric Tons
01-10-2026,2025-08-07,2025,2026,8,3,32,10,wheat,world,365486,Metric Tons
01-10-2026,2025-08-07,2025,2025,8,12,32,49,soybeans,world,518066,Metric Tons
01-10-2026,2025-08-07,2025,2025,8,12,32,49,corn,world,1491962,Metric Tons
01-10-2026,2025-07-24,2025,2026,7,2,30,8,wheat,world,288793,Metric Tons
01-10-2026,2025-07-24,2025,2025,7,11,30,47,corn,world,1522174,Metric Tons
01-10-2026,2025-07-24,2025,2025,7,11,30,47,soybeans,world,409714,Metric Tons
01-10-2026,2025-07-17,2025,2025,7,11,29,46,corn,world,983625,Metric Tons
01-10-2026,2025-07-17,2025,2026,7,2,29,7,wheat,world,732290,Metric Tons
01-10-2026,2025-07-17,2025,2025,7,11,29,46,soybeans,world,364990,Metric Tons
01-10-2026,2025-07-10,2025,2025,7,11,28,45,soybeans,world,147045,Metric Tons
01-10-2026,2025-07-10,2025,2026,7,2,28,6,wheat,world,439533,Metric Tons
01-10-2026,2025-07-10,2025,2025,7,11,28,45,corn,world,1287159,Metric Tons
01-10-2026,2025-07-03,2025,2025,7,11,27,44,soybeans,world,389364,Metric Tons
01-10-2026,2025-07-03,2025,2026,7,2,27,5,wheat,world,436628,Metric Tons
01-10-2026,2025-07-03,2025,2025,7,11,27,44,corn,world,1491062,Metric Tons
01-10-2026,2025-06-26,2025,2026,6,1,26,4,wheat,world,434539,Metric Tons
01-10-2026,2025-06-26,2025,2025,6,10,26,43,corn,world,1369961,Metric Tons
01-10-2026,2025-06-26,2025,2025,6,10,26,43,soybeans,world,224787,Metric Tons
01-10-2026,2025-06-19,2025,2025,6,10,25,42,soybeans,world,192890,Metric Tons
01-10-2026,2025-06-19,2025,2026,6,1,25,3,wheat,world,254782,Metric Tons
01-10-2026,2025-06-19,2025,2025,6,10,25,42,corn,world,1476638,Metric Tons
01-10-2026,2025-06-12,2025,2025,6,10,24,41,corn,world,1673023,Metric Tons
01-10-2026,2025-06-12,2025,2025,6,10,24,41,soybeans,world,215803,Metric Tons
01-10-2026,2025-06-12,2025,2026,6,1,24,2,wheat,world,388752,Metric Tons
01-10-2026,2025-06-05,2025,2025,6,10,23,40,corn,world,1656562,Metric Tons
01-10-2026,2025-06-05,2025,2026,6,1,23,1,wheat,world,290957,Metric Tons
01-10-2026,2025-06-05,2025,2025,6,10,23,40,soybeans,world,547040,Metric Tons
01-10-2026,2025-05-29,2025,2025,5,9,22,39,corn,world,1576006,Metric Tons
01-10-2026,2025-05-29,2025,2025,5,9,22,39,soybeans,world,268343,Metric Tons
01-10-2026,2025-05-29,2025,2025,5,12,22,52,wheat,world,552910,Metric Tons
01-10-2026,2025-05-22,2025,2025,5,9,21,38,corn,world,1396206,Metric Tons
01-10-2026,2025-05-22,2025,2025,5,9,21,38,soybeans,world,194904,Metric Tons
01-10-2026,2025-05-22,2025,2025,5,12,21,51,wheat,world,561980,Metric Tons
01-10-2026,2025-05-15,2025,2025,5,9,20,37,corn,world,1719034,Metric Tons
01-10-2026,2025-05-15,2025,2025,5,12,20,50,wheat,world,423785,Metric Tons
01-10-2026,2025-05-15,2025,2025,5,9,20,37,soybeans,world,217842,Metric Tons
01-10-2026,2025-05-08,2025,2025,5,12,19,49,wheat,world,405170,Metric Tons
01-10-2026,2025-05-08,2025,2025,5,9,19,36,corn,world,1224087,Metric Tons
01-10-2026,2025-05-08,2025,2025,5,9,19,36,soybeans,world,426077,Metric Tons
01-10-2026,2025-05-01,2025,2025,5,9,18,35,corn,world,1608350,Metric Tons
01-10-2026,2025-05-01,2025,2025,5,12,18,48,wheat,world,310326,Metric Tons
01-10-2026,2025-05-01,2025,2025,5,9,18,35,soybeans,world,324101,Metric Tons
01-10-2026,2025-04-24,2025,2025,4,8,17,34,corn,world,1654613,Metric Tons
01-10-2026,2025-04-24,2025,2025,4,11,17,47,wheat,world,646564,Metric Tons
01-10-2026,2025-04-24,2025,2025,4,8,17,34,soybeans,world,439341,Metric Tons
01-10-2026,2025-04-17,2025,2025,4,8,16,33,corn,world,1702813,Metric Tons
01-10-2026,2025-04-17,2025,2025,4,11,16,46,wheat,world,510250,Metric Tons
01-10-2026,2025-04-17,2025,2025,4,8,16,33,soybeans,world,550924,Metric Tons
