date_collected,calendar_year,marketing_year,calendar_month,marketing_year_month,commodity,country,attribute,amount,unit
09-21-2026,2026,2027,9,12,soybean-meal,taiwan,Beginning Stocks,38.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,united-states,Domestic Consumption,39916.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,mexico,Exports,1.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,mexico,Total Supply,9009.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,mexico,Imports,3150.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,mexico,Production,5490.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,mexico,Beginning Stocks,369.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,mexico,Extraction Rate,0.7899,Percentage (%)
09-21-2026,2026,2027,9,12,soybean-meal,mexico,Crush,6950.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,united-states,Soybean Meal Equivalent,39916.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,united-states,Total Distribution,60917.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,united-states,Ending Stocks,408.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,united-states,Feed Waste Domestic Consumption,39916.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,colombia,Crush,570.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,united-states,Food Use Domestic Consumption,0.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,united-states,Industrial Domestic Consumption,0.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,united-states,Exports,20593.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,united-states,Total Supply,60917.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,united-states,Imports,816.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,united-states,Production,59693.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,united-states,Beginning Stocks,408.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,united-states,Extraction Rate,0.789,Percentage (%)
09-21-2026,2026,2027,9,12,soybean-meal,united-states,Crush,75659.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,united-states,Crush,75659.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,mexico,Industrial Domestic Consumption,0.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,mexico,Food Use Domestic Consumption,50.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,mexico,Feed Waste Domestic Consumption,8625.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,mexico,Domestic Consumption,8675.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,south-korea,Production,723.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,south-korea,Beginning Stocks,202.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,south-korea,Extraction Rate,0.7945,Percentage (%)
09-21-2026,2026,2027,9,12,soybean-meal,south-korea,Crush,910.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,japan,Soybean Meal Equivalent,3085.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,japan,Total Distribution,3588.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,japan,Ending Stocks,92.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,japan,Domestic Consumption,3495.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,japan,Feed Waste Domestic Consumption,3085.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,japan,Food Use Domestic Consumption,200.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,japan,Industrial Domestic Consumption,210.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,japan,Exports,1.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,japan,Total Supply,3588.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,japan,Imports,1625.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,japan,Production,1875.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,japan,Beginning Stocks,88.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,japan,Extraction Rate,0.75,Percentage (%)
09-21-2026,2026,2027,9,12,soybean-meal,japan,Crush,2500.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,mexico,Soybean Meal Equivalent,8625.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,mexico,Total Distribution,9009.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,mexico,Ending Stocks,333.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,united-states,Extraction Rate,0.1975,Percentage (%)
09-21-2026,2026,2027,9,12,soybean-oil,united-states,Beginning Stocks,833.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,united-states,Production,14944.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,japan,Beginning Stocks,22.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,japan,Imports,2.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,japan,Total Supply,535.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,japan,Exports,0.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,japan,Industrial Domestic Consumption,40.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,japan,Food Use Domestic Consumption,475.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,japan,Feed Waste Domestic Consumption,0.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,japan,Domestic Consumption,515.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,japan,Ending Stocks,20.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,japan,Total Distribution,535.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,south-korea,Crush,910.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,south-korea,Extraction Rate,0.211,Percentage (%)
09-21-2026,2026,2027,9,12,soybean-oil,south-korea,Beginning Stocks,101.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,south-korea,Production,192.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,south-korea,Imports,460.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,south-korea,Total Supply,753.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,south-korea,Exports,2.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,south-korea,Industrial Domestic Consumption,35.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,south-korea,Food Use Domestic Consumption,615.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,south-korea,Feed Waste Domestic Consumption,0.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,south-korea,Domestic Consumption,650.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,south-korea,Ending Stocks,101.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,japan,Production,511.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,japan,Extraction Rate,0.2044,Percentage (%)
09-21-2026,2026,2027,9,12,soybean-oil,united-states,Imports,272.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,japan,Crush,2500.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,united-states,Total Supply,16049.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,united-states,Exports,181.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,united-states,Industrial Domestic Consumption,8074.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,united-states,Food Use Domestic Consumption,6943.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,united-states,Feed Waste Domestic Consumption,0.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,united-states,Domestic Consumption,15017.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,united-states,Ending Stocks,851.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,united-states,Total Distribution,16049.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,mexico,Crush,6950.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,mexico,Extraction Rate,0.1845,Percentage (%)
09-21-2026,2026,2027,9,12,soybean-oil,mexico,Beginning Stocks,188.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,mexico,Production,1282.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,mexico,Imports,200.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,mexico,Total Supply,1670.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,mexico,Exports,40.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,mexico,Industrial Domestic Consumption,0.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,mexico,Food Use Domestic Consumption,1440.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,mexico,Feed Waste Domestic Consumption,0.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,mexico,Domestic Consumption,1440.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,mexico,Ending Stocks,190.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,mexico,Total Distribution,1670.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,south-korea,Imports,1725.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,south-korea,Total Supply,2650.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,south-korea,Exports,30.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,vietnam,Ending Stocks,538.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,vietnam,Feed Waste Domestic Consumption,8700.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,vietnam,Food Use Domestic Consumption,100.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,vietnam,Industrial Domestic Consumption,0.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,vietnam,Exports,50.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,vietnam,Total Supply,9388.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,vietnam,Imports,6850.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,vietnam,Production,2067.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,vietnam,Beginning Stocks,471.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,vietnam,Extraction Rate,0.78,Percentage (%)
09-21-2026,2026,2027,9,12,soybean-meal,vietnam,Crush,2650.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,guatemala,Soybean Meal Equivalent,820.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,guatemala,Total Distribution,874.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,guatemala,Ending Stocks,54.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,guatemala,Domestic Consumption,820.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,guatemala,Feed Waste Domestic Consumption,820.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,guatemala,Food Use Domestic Consumption,0.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,guatemala,Industrial Domestic Consumption,0.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,guatemala,Exports,0.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,guatemala,Total Supply,874.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,guatemala,Imports,800.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,guatemala,Production,19.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,vietnam,Domestic Consumption,8800.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,vietnam,Total Distribution,9388.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,guatemala,Extraction Rate,0.7917,Percentage (%)
09-21-2026,2026,2027,9,12,soybean-meal,vietnam,Soybean Meal Equivalent,8700.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,honduras,Exports,50.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,honduras,Total Supply,601.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,honduras,Imports,570.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,honduras,Production,0.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,honduras,Beginning Stocks,31.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,honduras,Extraction Rate,0.0,Percentage (%)
09-21-2026,2026,2027,9,12,soybean-meal,honduras,Crush,0.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,canada,Soybean Meal Equivalent,2295.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,canada,Total Distribution,2926.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,canada,Ending Stocks,201.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,canada,Domestic Consumption,2295.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,canada,Feed Waste Domestic Consumption,2295.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,canada,Food Use Domestic Consumption,0.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,canada,Industrial Domestic Consumption,0.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,canada,Exports,430.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,canada,Total Supply,2926.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,canada,Imports,1350.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,canada,Production,1376.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,canada,Beginning Stocks,200.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,canada,Extraction Rate,0.7977,Percentage (%)
09-21-2026,2026,2027,9,12,soybean-meal,canada,Crush,1725.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,guatemala,Beginning Stocks,55.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,guatemala,Crush,24.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,south-korea,Industrial Domestic Consumption,0.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,european-union,Beginning Stocks,1625.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,european-union,Crush,14850.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,colombia,Soybean Meal Equivalent,2950.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,colombia,Total Distribution,3199.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,colombia,Ending Stocks,247.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,colombia,Domestic Consumption,2950.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,colombia,Feed Waste Domestic Consumption,2950.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,colombia,Food Use Domestic Consumption,0.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,colombia,Industrial Domestic Consumption,0.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,colombia,Exports,2.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,colombia,Total Supply,3199.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,colombia,Imports,2550.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,colombia,Production,449.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,colombia,Beginning Stocks,200.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,colombia,Extraction Rate,0.7877,Percentage (%)
09-21-2026,2026,2027,9,12,soybean-meal,colombia,Crush,570.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,south-korea,Soybean Meal Equivalent,2380.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,south-korea,Total Distribution,2650.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,south-korea,Ending Stocks,215.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,south-korea,Domestic Consumption,2405.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,south-korea,Feed Waste Domestic Consumption,2380.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,south-korea,Food Use Domestic Consumption,25.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,european-union,Extraction Rate,0.7899,Percentage (%)
09-21-2026,2026,2027,9,12,soybean-meal,european-union,Production,11730.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,taiwan,Soybean Meal Equivalent,1735.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,european-union,Imports,20400.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,taiwan,Total Distribution,1827.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,taiwan,Ending Stocks,42.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,taiwan,Domestic Consumption,1735.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,taiwan,Feed Waste Domestic Consumption,1735.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,taiwan,Food Use Domestic Consumption,0.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,taiwan,Industrial Domestic Consumption,0.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,taiwan,Exports,50.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,taiwan,Total Supply,1827.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,taiwan,Imports,60.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,taiwan,Production,1729.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,taiwan,Extraction Rate,0.7859,Percentage (%)
09-21-2026,2026,2027,9,12,soybean-meal,taiwan,Crush,2200.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,european-union,Soybean Meal Equivalent,31525.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,european-union,Total Distribution,33755.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,european-union,Ending Stocks,1588.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,european-union,Domestic Consumption,31567.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,european-union,Feed Waste Domestic Consumption,31525.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,european-union,Food Use Domestic Consumption,32.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,european-union,Industrial Domestic Consumption,10.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,european-union,Exports,600.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-meal,european-union,Total Supply,33755.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,south-korea,Total Distribution,753.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,colombia,Extraction Rate,0.1895,Percentage (%)
09-21-2026,2026,2027,9,12,soybean-meal,honduras,Food Use Domestic Consumption,0.0,1000 Metric Tons
09-21-2026,2026,2027,9,1,soybeans,bangladesh,Imports,2500.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,thailand,Ending Stocks,31.0,1000 Metric Tons
09-21-2026,2026,2027,9,1,soybeans,bangladesh,Yield,1.7143,Yield (Metric Tons per Hectare)
09-21-2026,2026,2027,9,1,soybeans,bangladesh,Total Distribution,2885.0,1000 Metric Tons
09-21-2026,2026,2027,9,1,soybeans,bangladesh,Ending Stocks,240.0,1000 Metric Tons
09-21-2026,2026,2027,9,1,soybeans,bangladesh,Domestic Consumption,2645.0,1000 Metric Tons
09-21-2026,2026,2027,9,1,soybeans,bangladesh,Feed Waste Domestic Consumption,215.0,1000 Metric Tons
09-21-2026,2026,2027,9,1,soybeans,bangladesh,Food Use Domestic Consumption,5.0,1000 Metric Tons
09-21-2026,2026,2027,9,1,soybeans,bangladesh,Crush,2425.0,1000 Metric Tons
09-21-2026,2026,2027,9,1,soybeans,bangladesh,Exports,0.0,1000 Metric Tons
09-21-2026,2026,2027,9,1,soybeans,bangladesh,Total Supply,2885.0,1000 Metric Tons
09-21-2026,2026,2027,9,1,soybeans,bangladesh,Production,180.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,colombia,Beginning Stocks,46.0,1000 Metric Tons
09-21-2026,2026,2027,9,1,soybeans,bangladesh,Beginning Stocks,205.0,1000 Metric Tons
09-21-2026,2026,2027,9,1,soybeans,bangladesh,Area Harvested,105.0,1000 Hectares
09-21-2026,2026,2027,9,1,soybeans,pakistan,Yield,1.0,Yield (Metric Tons per Hectare)
09-21-2026,2026,2027,9,1,soybeans,pakistan,Total Distribution,3635.0,1000 Metric Tons
09-21-2026,2026,2027,9,1,soybeans,pakistan,Ending Stocks,310.0,1000 Metric Tons
09-21-2026,2026,2027,9,1,soybeans,pakistan,Domestic Consumption,3325.0,1000 Metric Tons
09-21-2026,2026,2027,9,1,soybeans,pakistan,Feed Waste Domestic Consumption,25.0,1000 Metric Tons
09-21-2026,2026,2027,9,1,soybeans,pakistan,Food Use Domestic Consumption,0.0,1000 Metric Tons
09-21-2026,2026,2027,9,1,soybeans,pakistan,Crush,3300.0,1000 Metric Tons
09-21-2026,2026,2027,9,1,soybeans,pakistan,Exports,0.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,thailand,Domestic Consumption,295.0,1000 Metric Tons
09-21-2026,2026,2027,9,4,wheat,mexico,Trade Year Imports,5800.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,thailand,Food Use Domestic Consumption,245.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,thailand,Industrial Domestic Consumption,50.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,nigeria,Total Distribution,291.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,indonesia,Crush,0.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,indonesia,Extraction Rate,0.0,Percentage (%)
09-21-2026,2026,2027,9,12,soybean-oil,indonesia,Beginning Stocks,0.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,indonesia,Production,0.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,indonesia,Imports,40.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,indonesia,Total Supply,40.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,indonesia,Exports,0.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,indonesia,Industrial Domestic Consumption,0.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,indonesia,Food Use Domestic Consumption,40.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,indonesia,Feed Waste Domestic Consumption,0.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,indonesia,Domestic Consumption,40.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,indonesia,Ending Stocks,0.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,indonesia,Total Distribution,40.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,thailand,Crush,3050.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,thailand,Extraction Rate,0.1797,Percentage (%)
09-21-2026,2026,2027,9,12,soybean-oil,thailand,Beginning Stocks,38.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,thailand,Production,548.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,thailand,Imports,0.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,thailand,Total Supply,586.0,1000 Metric Tons
09-21-2026,2026,2027,9,12,soybean-oil,thailand,Exports,260.0,1000 Metric Tons
