week_ending_date,calendar_year,marketing_year,calendar_month,marketing_year_month,calendar_week,marketing_year_week,commodity,country,weekly_exports,accumulated_exports,outstanding_sales,gross_new_sales,current_marketing_year_net_sales,current_marketing_year_total_commitment,next_marketing_year_outstanding_sales,next_marketing_year_net_sales,unit
2017-10-05,2017,2018,10,1,40,1,soybean oil,world,8465,8465,77102,33842,10956,85567,0,0,Metric Tons
2017-10-12,2017,2018,10,1,41,2,soybean oil,world,6458,14923,98088,28019,27444,113011,0,0,Metric Tons
2017-10-19,2017,2018,10,1,42,3,soybean oil,world,4784,19707,121165,27955,27861,140872,0,0,Metric Tons
2017-10-26,2017,2018,10,1,43,4,soybean oil,world,41809,61516,106396,29694,27040,167912,0,0,Metric Tons
2017-11-02,2017,2018,11,2,44,5,soybean oil,world,6971,68487,115341,15916,15916,183828,0,0,Metric Tons
2017-11-09,2017,2018,11,2,45,6,soybean oil,world,12660,81147,105345,2733,2664,186492,0,0,Metric Tons
2017-11-16,2017,2018,11,2,46,7,soybean oil,world,5000,86147,104522,10158,4177,190669,0,0,Metric Tons
2017-11-23,2017,2018,11,2,47,8,soybean oil,world,30711,116858,85396,18589,11585,202254,1361,1361,Metric Tons
2017-11-30,2017,2018,11,2,48,9,soybean oil,world,2152,119010,104273,21174,21029,223283,1361,0,Metric Tons
2017-12-07,2017,2018,12,3,49,10,soybean oil,world,11989,130999,106806,14579,14522,237805,1361,0,Metric Tons
2017-12-14,2017,2018,12,3,50,11,soybean oil,world,15661,146660,115389,26560,24244,262049,1361,0,Metric Tons
2017-12-21,2017,2018,12,3,51,12,soybean oil,world,3975,150635,155613,44199,44199,306248,1361,0,Metric Tons
2017-12-28,2017,2018,12,3,52,13,soybean oil,world,31488,182123,141981,18072,17856,324104,1361,0,Metric Tons
2018-01-04,2018,2018,1,4,1,14,soybean oil,world,13794,195917,126575,3468,-1612,322492,1361,0,Metric Tons
2018-01-11,2018,2018,1,4,2,15,soybean oil,world,12943,208860,141554,27947,27922,350414,1361,0,Metric Tons
2018-01-18,2018,2018,1,4,3,16,soybean oil,world,38318,247178,114988,11755,11752,362166,1361,0,Metric Tons
