market year,calendar year,calendar month,commodity,attribute,unit,amount,country
2025,2025,12,corn,area harvested,1000 hectares,44300.0,china
2025,2025,12,corn,beginning stocks,1000 metric tons,191928.0,china
2025,2025,12,corn,production,1000 metric tons,295000.0,china
2025,2025,12,corn,imports,1000 metric tons,8000.0,china
2025,2025,12,corn,trade year imports,1000 metric tons,8000.0,china
2025,2025,12,corn,trade year imports from u.s.,1000 metric tons,0.0,china
2025,2025,12,corn,total supply,1000 metric tons,494928.0,china
2025,2025,12,corn,exports,1000 metric tons,20.0,china
2025,2025,12,corn,trade year exports,1000 metric tons,20.0,china
2025,2025,12,corn,feed domestic consumption,1000 metric tons,239000.0,china
2025,2025,12,corn,"food, seed, and industrial consumption",1000 metric tons,82000.0,china
2025,2025,12,corn,domestic consumption,1000 metric tons,321000.0,china
2025,2025,12,corn,ending stocks,1000 metric tons,173908.0,china
2025,2025,12,corn,total distribution,1000 metric tons,494928.0,china
2025,2025,12,corn,yield,yield (metric tons per hectare),6.6591,china
2025,2025,12,soybean oil,crush,1000 metric tons,108000.0,china
2025,2025,12,soybean oil,extraction rate,percentage,0.19,china
2025,2025,12,soybean oil,beginning stocks,1000 metric tons,776.0,china
2025,2025,12,soybean oil,production,1000 metric tons,20520.0,china
2025,2025,12,soybean oil,imports,1000 metric tons,250.0,china
2025,2025,12,soybean oil,total supply,1000 metric tons,21546.0,china
2025,2025,12,soybean oil,exports,1000 metric tons,250.0,china
2025,2025,12,soybean oil,industrial domestic consumption,1000 metric tons,0.0,china
2025,2025,12,soybean oil,food use domestic consumption,1000 metric tons,20500.0,china
2025,2025,12,soybean oil,feed waste domestic consumption,1000 metric tons,0.0,china
2025,2025,12,soybean oil,domestic consumption,1000 metric tons,20500.0,china
2025,2025,12,soybean oil,ending stocks,1000 metric tons,796.0,china
2025,2025,12,soybean oil,total distribution,1000 metric tons,21546.0,china
2025,2025,12,soybean meal,crush,1000 metric tons,6800.0,mexico
2025,2025,12,soybean meal,extraction rate,percentage,0.79,mexico
2025,2025,12,soybean meal,beginning stocks,1000 metric tons,307.0,mexico
2025,2025,12,soybean meal,production,1000 metric tons,5372.0,mexico
2025,2025,12,soybean meal,imports,1000 metric tons,2550.0,mexico
2025,2025,12,soybean meal,total supply,1000 metric tons,8229.0,mexico
2025,2025,12,soybean meal,exports,1000 metric tons,1.0,mexico
2025,2025,12,soybean meal,industrial domestic consumption,1000 metric tons,0.0,mexico
2025,2025,12,soybean meal,food use domestic consumption,1000 metric tons,50.0,mexico
2025,2025,12,soybean meal,feed waste domestic consumption,1000 metric tons,7850.0,mexico
2025,2025,12,soybean meal,domestic consumption,1000 metric tons,7900.0,mexico
2025,2025,12,soybean meal,ending stocks,1000 metric tons,328.0,mexico
2025,2025,12,soybean meal,total distribution,1000 metric tons,8229.0,mexico
2025,2025,12,soybean meal,soybean meal equivalent,1000 metric tons,7850.0,mexico
2025,2025,12,soybeans,area harvested,1000 hectares,1070.0,european
2025,2025,12,soybeans,beginning stocks,1000 metric tons,1602.0,european
2025,2025,12,soybeans,production,1000 metric tons,2785.0,european
2025,2025,12,soybeans,imports,1000 metric tons,14300.0,european
2025,2025,12,soybeans,total supply,1000 metric tons,18687.0,european
2025,2025,12,soybeans,exports,1000 metric tons,300.0,european
2025,2025,12,soybeans,crush,1000 metric tons,15300.0,european
2025,2025,12,soybeans,food use domestic consumption,1000 metric tons,220.0,european
2025,2025,12,soybeans,feed waste domestic consumption,1000 metric tons,1300.0,european
2025,2025,12,soybeans,domestic consumption,1000 metric tons,16820.0,european
2025,2025,12,soybeans,ending stocks,1000 metric tons,1567.0,european
2025,2025,12,soybeans,total distribution,1000 metric tons,18687.0,european
2025,2025,12,soybeans,yield,yield (metric tons per hectare),2.6028,european
2025,2025,12,soybean meal,crush,1000 metric tons,2350.0,japan
2025,2025,12,soybean meal,extraction rate,percentage,0.7511,japan
2025,2025,12,soybean meal,beginning stocks,1000 metric tons,116.0,japan
2025,2025,12,soybean meal,production,1000 metric tons,1765.0,japan
2025,2025,12,soybean meal,imports,1000 metric tons,1700.0,japan
2025,2025,12,soybean meal,total supply,1000 metric tons,3581.0,japan
2025,2025,12,soybean meal,exports,1000 metric tons,1.0,japan
2025,2025,12,soybean meal,industrial domestic consumption,1000 metric tons,210.0,japan
2025,2025,12,soybean meal,food use domestic consumption,1000 metric tons,200.0,japan
2025,2025,12,soybean meal,feed waste domestic consumption,1000 metric tons,3050.0,japan
2025,2025,12,soybean meal,domestic consumption,1000 metric tons,3460.0,japan
2025,2025,12,soybean meal,ending stocks,1000 metric tons,120.0,japan
2025,2025,12,soybean meal,total distribution,1000 metric tons,3581.0,japan
2025,2025,12,soybean meal,soybean meal equivalent,1000 metric tons,3050.0,japan
2025,2025,12,soybean meal,crush,1000 metric tons,15300.0,european
2025,2025,12,soybean meal,extraction rate,percentage,0.79,european
2025,2025,12,soybean meal,beginning stocks,1000 metric tons,1751.0,european
2025,2025,12,soybean meal,production,1000 metric tons,12087.0,european
2025,2025,12,soybean meal,imports,1000 metric tons,17550.0,european
2025,2025,12,soybean meal,total supply,1000 metric tons,31388.0,european
2025,2025,12,soybean meal,exports,1000 metric tons,600.0,european
2025,2025,12,soybean meal,industrial domestic consumption,1000 metric tons,10.0,european
2025,2025,12,soybean meal,food use domestic consumption,1000 metric tons,32.0,european
2025,2025,12,soybean meal,feed waste domestic consumption,1000 metric tons,29900.0,european
2025,2025,12,soybean meal,domestic consumption,1000 metric tons,29942.0,european
2025,2025,12,soybean meal,ending stocks,1000 metric tons,846.0,european
2025,2025,12,soybean meal,total distribution,1000 metric tons,31388.0,european
2025,2025,12,soybean meal,soybean meal equivalent,1000 metric tons,29900.0,european
2025,2025,12,corn,area harvested,1000 hectares,8150.0,european
2025,2025,12,corn,beginning stocks,1000 metric tons,6135.0,european
2025,2025,12,corn,production,1000 metric tons,56750.0,european
2025,2025,12,corn,imports,1000 metric tons,20000.0,european
2025,2025,12,corn,trade year imports,1000 metric tons,20000.0,european
2025,2025,12,corn,trade year imports from u.s.,1000 metric tons,0.0,european
2025,2025,12,corn,total supply,1000 metric tons,82885.0,european
2025,2025,12,corn,exports,1000 metric tons,1800.0,european
2025,2025,12,corn,trade year exports,1000 metric tons,1800.0,european
2025,2025,12,corn,feed domestic consumption,1000 metric tons,55200.0,european
2025,2025,12,corn,"food, seed, and industrial consumption",1000 metric tons,20100.0,european
2025,2025,12,corn,domestic consumption,1000 metric tons,75300.0,european
2025,2025,12,corn,ending stocks,1000 metric tons,5785.0,european
2025,2025,12,corn,total distribution,1000 metric tons,82885.0,european
2025,2025,12,corn,yield,yield (metric tons per hectare),6.9632,european
2025,2025,12,soybean meal,crush,1000 metric tons,108000.0,china
2025,2025,12,soybean meal,extraction rate,percentage,0.792,china
2025,2025,12,soybean meal,beginning stocks,1000 metric tons,943.0,china
2025,2025,12,soybean meal,production,1000 metric tons,85536.0,china
2025,2025,12,soybean meal,imports,1000 metric tons,50.0,china
