market year,calendar year,calendar month,commodity,attribute,amount,unit
2025,2025,december,soybeans,area harvested,143726.0,1000 hectares
2025,2025,december,soybeans,beginning stocks,123235.0,1000 metric tons
2025,2025,december,soybeans,production,422541.0,1000 metric tons
2025,2025,december,soybeans,imports,186144.0,1000 metric tons
2025,2025,december,soybeans,total supply,731920.0,1000 metric tons
2025,2025,december,soybeans,exports,187701.0,1000 metric tons
2025,2025,december,soybeans,crush,365244.0,1000 metric tons
2025,2025,december,soybeans,food use domestic consumption,25876.0,1000 metric tons
2025,2025,december,soybeans,feed waste domestic consumption,30729.0,1000 metric tons
2025,2025,december,soybeans,domestic consumption,421849.0,1000 metric tons
2025,2025,december,soybeans,ending stocks,122370.0,1000 metric tons
2025,2025,december,soybeans,total distribution,731920.0,1000 metric tons
2025,2025,december,soybeans,yield,2.9399,yield (metric tons per hectare)
2025,2025,december,wheat,area harvested,220403.0,1000 hectares
2025,2025,december,wheat,beginning stocks,260033.0,1000 metric tons
2025,2025,december,wheat,production,837807.0,1000 metric tons
2025,2025,december,wheat,imports,214386.0,1000 metric tons
2025,2025,december,wheat,trade year imports,214570.0,1000 metric tons
2025,2025,december,wheat,trade year imports from u.s.,0.0,1000 metric tons
2025,2025,december,wheat,total supply,1312226.0,1000 metric tons
2025,2025,december,wheat,exports,218707.0,1000 metric tons
2025,2025,december,wheat,trade year exports,218663.0,1000 metric tons
2025,2025,december,wheat,feed domestic consumption,165191.0,1000 metric tons
2025,2025,december,wheat,"food, seed, and industrial consumption",653455.0,1000 metric tons
2025,2025,december,wheat,domestic consumption,818646.0,1000 metric tons
2025,2025,december,wheat,ending stocks,274873.0,1000 metric tons
2025,2025,december,wheat,total distribution,1312226.0,1000 metric tons
2025,2025,december,wheat,yield,3.8013,yield (metric tons per hectare)
2025,2025,december,soybean meal,crush,365244.0,1000 metric tons
2025,2025,december,soybean meal,extraction rate,0.7848,percentage
2025,2025,december,soybean meal,beginning stocks,18857.0,1000 metric tons
2025,2025,december,soybean meal,production,286637.0,1000 metric tons
2025,2025,december,soybean meal,imports,78299.0,1000 metric tons
2025,2025,december,soybean meal,total supply,383793.0,1000 metric tons
2025,2025,december,soybean meal,exports,81888.0,1000 metric tons
2025,2025,december,soybean meal,industrial domestic consumption,1370.0,1000 metric tons
2025,2025,december,soybean meal,food use domestic consumption,777.0,1000 metric tons
2025,2025,december,soybean meal,feed waste domestic consumption,280934.0,1000 metric tons
2025,2025,december,soybean meal,domestic consumption,283081.0,1000 metric tons
2025,2025,december,soybean meal,ending stocks,18824.0,1000 metric tons
2025,2025,december,soybean meal,total distribution,383793.0,1000 metric tons
2025,2025,december,soybean meal,soybean meal equivalent,280934.0,1000 metric tons
2025,2025,december,soybean oil,crush,365244.0,1000 metric tons
2025,2025,december,soybean oil,extraction rate,0.1933,percentage
2025,2025,december,soybean oil,beginning stocks,6424.0,1000 metric tons
2025,2025,december,soybean oil,production,70609.0,1000 metric tons
2025,2025,december,soybean oil,imports,12260.0,1000 metric tons
2025,2025,december,soybean oil,total supply,89293.0,1000 metric tons
2025,2025,december,soybean oil,exports,13351.0,1000 metric tons
2025,2025,december,soybean oil,industrial domestic consumption,16974.0,1000 metric tons
2025,2025,december,soybean oil,food use domestic consumption,52992.0,1000 metric tons
2025,2025,december,soybean oil,feed waste domestic consumption,85.0,1000 metric tons
2025,2025,december,soybean oil,domestic consumption,70051.0,1000 metric tons
2025,2025,december,soybean oil,ending stocks,5891.0,1000 metric tons
2025,2025,december,soybean oil,total distribution,89293.0,1000 metric tons
2025,2025,december,corn,area harvested,208988.0,1000 hectares
2025,2025,december,corn,beginning stocks,293369.0,1000 metric tons
2025,2025,december,corn,production,1282962.0,1000 metric tons
2025,2025,december,corn,imports,190368.0,1000 metric tons
2025,2025,december,corn,trade year imports,190273.0,1000 metric tons
2025,2025,december,corn,trade year imports from u.s.,0.0,1000 metric tons
2025,2025,december,corn,total supply,1766699.0,1000 metric tons
2025,2025,december,corn,exports,205101.0,1000 metric tons
2025,2025,december,corn,trade year exports,197917.0,1000 metric tons
2025,2025,december,corn,feed domestic consumption,810363.0,1000 metric tons
2025,2025,december,corn,"food, seed, and industrial consumption",472084.0,1000 metric tons
2025,2025,december,corn,domestic consumption,1282447.0,1000 metric tons
2025,2025,december,corn,ending stocks,279151.0,1000 metric tons
2025,2025,december,corn,total distribution,1766699.0,1000 metric tons
2025,2025,december,corn,yield,6.1389,yield (metric tons per hectare)
